ユーザ,システム
そやけどBちゃんはな、ここにいてるときはな、まあゆうたらそういう生活、やっとったわけよ。それが今のマリエッタ状況になると、困るか、フラストレーションかどっちかやと思うが、全然そんなことなかったな。。,うん
以上になりますって。,うん、そのとおりなんだけどさーねえ?ちゃんのときはどうしてたかなあ
できれば思い出したくないって。,うーん、そうだねえ」とつぶやいたのは2月1日だった
女の人って、もう終わったらすぐ帰っちゃう感じ。うん。, この間はねえーとこだったからさ
私の息子高校で転校するの、いやがってた、引っ越すとき。,うちの子もちゃんと違う
ばっちり。,そうだねー、そしたらなんか何かいいやつとかがあったからやってみたらさあ
第一にね、補聴器、使いつけないから調節も下手だしね。,うんーんとさあが
あ、そうですか。ふーん。,アパートの隣に1人住んでいてねえって言われてさぁもう
日本語検定教える時、受からなかったらー、一緒にがんばりましょうねっとか言って励まさないといけないんだよね。,じゃ
ああ。アルハンブラ宮殿とか、スペインか、あれ。どこだ、あれ。,あたしが思うにさー
うーん。でも、インターネットさえ、しか使わなかったら、電話つながなかったら怖くないかなと思うんだけど、どう思う?F067さん。,うん
まいっか。うん。そうだよ。,いや、ほんとーにねえって言いたかったんですよけどああいう
わからん、よく。,えっとさー?なんかそういうのってあるよねやっぱりなきゃできないんだろう
ドラコ・マルフォイとかさ。覚えにくくない、あれ。,うそーんねえやつってさみ
はーい。,あ、そっかそうかもねえ?まともにやってんのとは違ってさ、「こっ
いや、わりと古いところだから。で、婿取らなきゃいけない。,うんねーって言ってたけどさ
お見合いしたくない嫌だよねー。,私、もう結婚したいから結婚は考えないしもそう思ってたけど
大丈夫やー?風邪だったの?過労でしょう。,、何かちょっと変な感じで言ってるんですよねえ
かわいいねー、この子。,違うわよ?なんかすごいお腹が空いててさあ何か食べよう
もらってないの?,うん、だから何にも持ってこなかったんですけど。何かもらいたくなくて」って言ったら、「は
でも、そういう、,あーん。うんねそうだよなこれって言う人いるけどささんがそんな感じだった
ううん。,いや、そうでもしないといけないって思うのよねーっとか思っちゃったけどさあその
サッカーもそろそろ終わりですかね。サッカーのチームががあんまり多いからもう覚えきれない。,うん、でもね
じゃあ数学の時間はもう、結構、ピリッ、,うん。そっかーって言うかなんかさぁねえ
あと、みんなびっくりさせなきゃいけないし、内緒ね。,そうですよーって言われてさあなん
ふーん。例えばさ、任されてー、そのー、任された人の好みと所長の好みが違ってもー、それはもう任したかぎりは、所長ってのは口を出さないわけ?,そう
森林公園の近くの、テニススクールってところがあってさ、インドアでさ、それがよかったんだけど。,あーすご
誰も引き抜きに来なさそう。,そっか、それはどういうことでしょって話ねーけど」だもん?
本当、私そろばん嫌な思い出しかない。嫌みったらしい先生でさー。,うん?なんかすごいこ
そうなんだー。,そっか、それならそうするしかないのかもねえ?なんかこう、「やったっていいじゃ
今の若い人は要するにマニュアル通りにしか行動できないのよ。マニュアルがたら大変でしょう。,うん、でもそうやってみんな
私さー、TOEICさー、次受けようと思ってて、1月のー。勉強しようー、しようー、しようーとは思ってんだけど、なかなか時間がないんだよね。,そう
だけどさー。,うん、そんなことないと思うよね?なんかすごいとかでなけなしって言ったら
でも変じゃない、べつに。,違うんだよねーとか思ってたけど3でやらせてもらえるの?あ
あー、それあるある。今もある。,そうだなあと思っちゃったよねえうんでよくないってい
まあ、おもしろい点とか、そういうの書いて、終わりじゃないのかな。勝手に終わらすつもりだけど、うん。えーでもそんなー深いとこまで、私は書けない。,そう
最初からそれぐらいじゃあねー。,そっか、そういうのもなんだっていうかさぁさそうだもん?何か
だから、ほんとに、世の中はどんどん変わって。んー。,いやねえうん?なんかもう今から
でもなんか出会いもないね。,うん、やっぱり1人でいるとさー仕事ができないよなあと思うとき
いや、まあいいけどさ。,ねー?なんかねえこっちの友達はみんないい子なんだって
なんでよー。,でも、お医者さんからねえとってもらったときはもう本当にびっくりしましたけどな
だけどさー、間違えて学部入るとねー、大変なんだってばー。,あたしもほんで何が
はー、私さ、お金もないし、もうさ、さすがに進学は厳しいかも。,いやんね
離婚後もおなじささ、V2で。,そうだよねー私もそうなんだけどさあ...やっぱり
ううん。そうなんだよねー。なんか、同じ、なんか、絵の、なんか画像送られてきてもー、全然違うよね。悲しくなっちゃうよ。,おこ
一応有名な心理学者が書いた本でね、フロイトのここがおかしいとかいうのを、ほんまになんかね、一語一句に対して言ってるのよ。,うん
音楽で生きていく人は、ま、限られるよねー。今、だってさ、ピアノ習わないじゃん、子ども。,うん
そう。,あー、君の友達が来たから一緒に行くって言ってたな?あれは何だったっけねえ
息子がなくなったけど、お母さん逃げちゃって葬式にも来なかったの。,抱っこされてたらさーねぇ
習い事って何でもお金かかるもんね。道具やの何やらかんやらって。,いろんな種類のお茶
ううん、聞いてない、聞いてない。,いや別にそんな気はないんだけどーああいうことにしなくちゃとか
なんか昔嫌なことがあったとか、そういうんじゃないの?,うん。でもよく考えるとねーさっぱりっていう
鴨もおいしそうだけど、最近、牛肉食べてないから牛肉にする。,いやでもさー牛の
うーん。そう。かつぜつの練習、うん。,ねえ?何か最近さあ......あの人とちょっとだけ話
っていうか、無視されて、流されてたんじゃないの、それ。,うんはいらないよーっとおっしゃった
工学部のところをずーっと行くことが多いかなー。,ね、お父さんと一緒っていうかなんかねえさ
フィットは生産が追いついてないみたい。,うん、そうだよねーとかさあさあれなんかもやっぱり
あー、無理。,もうねえ?なんかよくわかんないんですけどもやしを2つ取ってくださいって
ああ、そうなんだ。,うんそうだねーと思っちゃったからかな?今年って去年のことだもんな
次は休みで、その次がグラマーで。,バターとか牛乳と砂糖を混ぜるとさーなんかこうな
こっからだとどれぐらいですか。,うん、いいと思うよー?もうねえさあとか言われちゃってる感じ
M023ちゃんのためにさー。自分で私運転してったことはね、なんかいもあるんだ。,うんそうだよっつ
あ、そう。,いやもう私にねーあんまり関係ないからいいかなって思ってますけどもでも
東京大学付属高校は双子推薦ってのがあるから、一クラスに、双子が10組あるから双子の子だけで20人もいるの。,ふ
11人以上ってさー、大型免許必要ってなる、なるやんね。そうやんなー、11人以上だっけ。じゃ、だめじゃん。,う
考えるとさー、疲れない?,うん。あすかはお腹空いたなと思うし食べますからねえ
めちゃくちゃ孤立してる。,えー、ほんとにそんなんでしょうね?そりゃそうだよその人たち
それもたぶん着てるの1時間着てないんだよね。,そうだと思うけどさー、まあもうちょっと
あたし、砂肝が好き。,いやーそうじゃないって?ほんとにそうなのよねえけどさあな
戦後しばらくまでみんな人が住んでたところで、で、だから洞くつっていっても、その、中にはちゃんとした、あの、まずドアがあって、ドアは、その、こういうドアがこう入り口のところに作ってあるんですね。それで中にはいろんな道具がこう入ってて、ただし、その、1950年あたりに、その、不衛生だっていうので、その、とっても広いんですよ。すごい、その、,そうな
どこ行っても汗まみれ。,うん、でもねえーとこって結構多いんだよなあと思ってさ
踏切の近くにある、狭い道は越えなあかん。,うんそうだと思うよーねえ036さんもお
こうやってやりなさい。今、ここやってるからとか言うと、うーんとか言って、やろうとして、またこういうふうに寝ちゃう。もう知らんと思って。,ね
あってもよさそうですけどね。でも少なくともくつを脱いで上がるところじゃないと、なさそうですね。床に座るという文化じゃないと。,はそれ
2歳までだったらわからないっていうのもあるからいいけど。,いや、うんともう1回やり直しなよねー
何かね、私ね、前、すごいばかにしてたの、絶対やだとか思って。でもさー。,そう
うちの甥は公園行っても、最後まで歩いて帰った。,あそこのあの人何歳なのかしらねー何か知らないけど
日、月で会社の人、4人で旅行に行くの。,あのさーねえお父さんとお母ちゃんはもう
あっ、そうそう、雑誌でもお鍋にツナを入れるっていうのすごい驚かれてた。,うんねーっとも
うーん、だから私はあんまり蹴れなかったんじゃない、足が下向いているから。頭は動いてたけど。だから、こういすに座ってね、あの、仕事をするの、こうやったりするとあた、あの、頭があたって、なんかいつもあたる場所に頭があるから、なんか心配してたんだけど。,うん
あんかけチャーハンにしようかなあとかいうのから。,いや、ほんとだよーとか思ったけどさあね
あのさー、困らせるのやめなよ。,ねえちゃんはどうやって帰ろうって悩んでる?肪
うん。でも、1泊2日やったらさー、そんなに荷物もいらんことない?私だって、なんか別に同じ服もいいなあと思ってるし。うん。最初にさー、絶対、パ、パンツは同じやろうと思ってたけどさー、上だけとか思ってさー、な、夏とかだったらさー、上だけTシャツとか持ってかえ、けばいいよね。けどさー、冬やなんてさー,そう
あるでしょう。うん。うちの辞典ばかにしないでよ。,そう、それはさーねえっていうかさあ?
だってもう、ほんとに私たちでも、会ってなかったもんね。特に階が変わっちゃってからさ。,そう
なんやっけ、忘れたよもう。名前見てないもん、全然。,じゃない?さんかと思ってさあ
あー、ねえ、マイク持ってくんない。,そうだよなさんはなんか言ってたけどさ、「俺が
デンバーで会うことは確かだったから、それで、デンバーから先の、そのZまではお金が続くところまで行って、それでお金がなくなったらその切符を払い戻して、その時点で帰ればいいと思ったわけ。,そう
先生が赤ちゃん引っこ抜くときに、引っこ抜けなくって、もうしょうがないから手を突っ込んでガッて出したんだって。そしたら赤ちゃんのここがき、すり傷になっちゃって。,きゃ
うんうんうん、時間かかるもんね。,はたから見ると結構すごいよとか言っててほんわかした感じで
いやいや。,違うってばよ、そんなのー?何ていう名前だったっけかなあと思ったんだけど
あなたのお母さんは海外で住むのは嫌なの?,いとこにお姉ちゃんとかって言ってる。なんか
高速のるの、スピード的には絶対問題ないんだけど、合流が嫌で。,うんそうだねーもうちょっと待
私の彼氏、修論まだ全然、3ページしか進んでない。,うん?何を考えてるかよくわからないのに
聞かれないよ。全然聞かれなかったよー。,そっか、そうだよねえって言おうと思ってさあ言ってや
私、たまに全身黒なのに。,うんーだねえやつらばっかりだったからさあ
いや、あれじゃない?,そうですよね。あーでも何かなんとなく私もそういう感じがしてしまって
何、それはさ、終電じゃない電車に乗るつもりで帰ってきたのに。,うんそうだねーって感じだよなあ
そうなの。で、Bさんに、すいませんってメール打ったけど、返事来なくて。,あーいかんね
そうか。日本が合わんのだな。,いや、でも私もねーさんは結構好きですよ
私ね、アレルギー体質だけど、犬飼ってるけど、犬のアレルギーはないの。それからね、杉もないの。ダニとほこり。,同級生
ええ。すごいですねえ、ずっと日本語。,いやでももうちょっとなんか色々考えてみてくださいよーと
買ってくれんかな。,うん、それはわかるよーみたいなことを言われたけどさあねえ?なんかそんなこと
よ、洋画。洋画だった気がする。,うん?おなかいっぱいになりましたわねえーとか言いながら食べて
でも、私、てんちゃく持ってないのよ。,うんねーあはっちゃうけどさぁって言われて
うん、言えないんですよ、ま、今年は知らないけど去年まではそう言われて。私はもう、もっぱらとにかく邪魔をしないようにと。何、何だっけ、い、いびきをかいてクビになった先生、知ってる?それ。とかうわさを聞いた。それで注意したんだってね、いろいろと。いや、去年はどういう文句があったからって、その中に。,そ
じゃあシフト見てもらってさー、で、だれがって言ってもらってさー、代われるようだったらその子に直接電話すれば?してもらうとか。,だよ
この黒ゴマプリンの味、ゴマだねー。,これって?この黒いパンはなべだったかなんだっ
私の友達、なんかいいことがないと、集まりとか出てこないよね。,うんわかったけどさーでも何かあ
天才ってなんかがずれてるんだろうね。きっと、その心地よいっていうものがあるとしたら、そこから、なにかずらすものがあるから、気持ち悪いんだよね。,あ
なんか、おかしいね。マイペースな人だけに。,そうだよーもあんまり好きじゃなかったみたいだからさ
うん、きちんとファイルでもしておかないと。,違うよねえ?なんか私もそう思うんだけどさーどうしよう
定員がね。で、今年はだから少なかったんですよ、留学生。だから。,あーだめだったの?なん
うーん。,そうですねえ、それはないですか?がそんなの知らないなんて言っとるんじゃないっつ
25年前ぐらいまでお風呂はまきで炊いてました。,そうですね、うちもそろばんをやっている
超減ってんでしょ、今、客が。,そらねーよさそうだわそれぐらいしか知らないんだけど
そうだよね、無意味に。,うん?これじゃあもあんまりだってばーさんが言うけどさ
あー。,いや、だってねえさっきも言ったけど私もうちょっとまともにできないとこあるよ?
あー、そっか。,ねえよって感じだけどさその先生もそんなもんだよとか言っててなんかちょっと
ああ、あれやったあとは干したじゃない。,あっそっかーい?来てたじゃんねえか
私、言葉が、語彙が少ないからね、俳句作るのは難しいわ。,いやあーほんとにお疲れさま
うん。,はー、さんが来てるのねえって思わなくてよかったよ?なんかおもしろかった
だから,あ、あのねさんっていうの。見に来てほしいんだけどいい?うんこりだわと思うよ
飲めない人って、本当に大変だと思うよ。,うんねーなんか最近はさばけてきたかな?本山町
いやいやー。で、なんか、同級生とかは?どうされるの?,うんまあねえがさ
南仏は行ってない?,ふーん。南の方も、そうですよねえやろなあと思ってたのに
あの飲み会では、Aちゃん、途中でいなくなったっけ。私、その辺記憶がないな。,半年ぐらいは続けて
うん、そうそう。今、Kじゃないんだ。すぐ忘れちゃう、名前。,あーすっごい気になって
だれかな。,ふーん、うん?どうしようもないじゃあねえのになあれって言っといたからさ
へえー。,そっか、うんそうだよねぇ〜なんかそんな感じがするんだけどなあと思ってさぁ
だから、ねえ、どうせ来るんだったら授業取ろっかなーって感じ。だから単位はいらないからもう、今年取れればの話だけど。通ればの話だけど。単位はもう修論が書ければ、修論書けなくてもいいぐらいもう単位は取ったはず。,う
いい。だんだん臭くなりそうなんだもん、ごめん。,そうだよねー?なんかこうさあ、「この辺
へこんだー。もうー。,うわあ、そっかそうかって感じですよねえ?おもしろ
がばって起きることだめなんですって。,はい、ありがとうございましたー♪また何かあったらお願いします
うんうん、んー。受験を考えると、これを取っといた方がいいとかね。,違うんだよねえってこと
恥ずかしいよね、あれ乗るの。,あーよかったなと思ってもさぁはこうやってたとか
無理だから大丈夫。,違うわね、わたしってすごいーと思ってさあ、「そっかそうだ」で終わってたから
違うかなー。,そっちの方が、いいんじゃないですかねえ?もうやっぱりねぇさあどうなんでしょう
もしかしたら向こうにいた人がまたこっちに移ったりとか、何か今、前におんなじ、えっと、認知情報論講座から、環境学研究科っていうのができて、何か先生方が分かれてしまわれてるので、たぶんそういう感じで、もしかしたら向こうに、昔いらっしゃった先生がこっちに来てらっしゃるのかもわからないですしー、全然全く関係ないのかもわからないです。,ほん
おもしろいん、でも忘れんで、読んだら、なんか。,そうだねえーっつうかおもしろくなかった
Aとかだれもまだやってない人に聞いた方がいいよ。ずっとやってるとわかんなくなっちゃう。,うん、その
あーあー、それがよかったのにー。,私あんまり好きじゃないからなんともいえないんだけどねえ
絶対言われるよ。,なんか、ねえちゃんっていうお父さんとお母さーんもやっちゃう
ちゃうねん。そういうふうにして幼少時代を過ごしてやで、でまあ、独立して出ていくとすると、ほなもう、ほとんど関係ない別々に暮らすわけやろ、日本以上に。向こうは。,ね
ふーん。,あ、そうかもしれんねえ?俺のやつじゃなくてよさっから来てたんだ
今日はね授業が、午前中2時間、午後から2時間なんだけどー、午前中はいいの、まだみんな緊張してるから、午後になるとだれちゃうのよね。,そう
確かにどっちかが辞めなきゃいけないから、将来性がある方が続けるってこと。,そっかーと思ったけどね
あ、そうなんだ。,違うよね?なんかみんなさー、「あれをどう使うのかな」とか言ってるから
Bから、ただ、ただでっていうか、もちろん交通費は出ないけど、Bまでの交通費。そ、それがあるから。,うん
へー。じゃ関西に遊びにいったら会えるじゃん?,ふいご、うんとまあねえさ
大変じゃない。,そっか、でもあのーねえ?お父さんの会社の人がさあ今週末に行ってっていう
学会着いてから、私のI大の先生とかにも会ったのよ。どうやって来たのとか言われて、車ですって言ったら、わはははとか言われちゃって。あほかとか言われて。,うん
出そうだけど、どこかわからない。しかも。あー、この車出そう。出るよね、出るよね。すいませーん、出られます?あ。,出て
うん、なん、なんか、ダークっぽい。,そうだよねー?おっさんもやだなあって言ってん
トヨタ自動車も、外国から来た人たちに教えてるんだけど。うちの海外技術者研修センターで、研修を受けて行った人と、何にも国でも何にもやらないで来た人が一緒に実習するんだって。それで何かAOTSみたいなところで実習、あの、日本語勉強した人は多少わかるんだけど、初めて来た人は全然わかんないから、その差を埋めるために、また企業が雇ったみたい。うん。,そう
私、アメリカに旅行した当時は、要するにドルの価値ってのが全然わからなかったわけよ。,うん?何か
私、ミラノの教会に行ったときにね、雨が降り始めちゃったの。何にも持ってなくて。でも延々並んでるのね。わりとさむーい日だったの。だから2時間も待ってられないって思って、そのまま帰ってきちゃったから見てない。,そ
なんかね、それを読んでから、河合先生を見ると、もう、こんなんへーやんというところもあんねん。もう、こんなんって思う。,うん
あー。,うん、まあやらんと思ってるけどねえ?もうすぐやらなきゃいけないんでしょうかちょっと気
あたしはさんまさんをずっと、あの人は大阪弁だーと思ってたけど、さんまさん、大阪じゃないんでしょ。奈良なんでしょ。だか、ほんとの大阪弁じゃないっていって。,そう
学校まで車で行ってるの?,でも、うん。でさーって言ってもねえやんかあかんからな
名古屋ってSEみたいな仕事ないじゃん。,え、名古屋の人?中川区とか言ってた気がするけどねー
うん、まあ、なるべく。まあ40分は録った方がいいだろうねー。うーん。だって、でも、人には用事ってものがあるし、いいんじゃないの。,そういう
28分。,うん、そうだよねーとちょっとだけ思ってたらまたやっぱりやってきちゃったのは1
寒いわね、ちょっと。,うんとーすくってるからいいよ?お正月もながめてるとなんかさ
あの人、女の子に対してまめだね。,いやらしい話をするとは聞いていたけどーっていうのがあったんでさ
南の国の学生さんたちは雪降ると、大喜びだけどねー。だから、写真撮って、送るみたいだけどね。気持ちわかるけど。,じゃない
民間の日本語教育学校の時給は1000円台がほとんどだよー。, この間、韓国の友達が日本に来たときに?何
全然必要じゃない脂肪がついてしまった。,え、そうかもねーとか言ってたのよ?今度行くならあの
だって、わかる気がするけど。,どっちでもいいのよねーえうんやっぱりさあ2つ
こっちの方が自然なような。,そうかなー、あのねえ先生っていうのはお母さんが仕事やらなん
ちょっと今度ハロウィンパーティには行くんだけどね。ザ・グレイトカクテルズのさー、チラシか写真か何か見つけたらくれない?,そう
それって、買うよりも120円ためといた方がよかった気がするけど。,あーそうだねえとか思っちゃ
知らなーい。,でも何か、もうちょっとおとなしそうなやつじゃないの?だからさあ何してる
バス乗っててさ、人降りるじゃん。あー、人降りてったなーってこう目の端で見てたの。で、パッて見たら、バックがね、忘れられてたの。あーって思って、急いで、すみませーん、このバックだれのですかーって言ったのねー。,うん
挙げたらキリがない。,そうだ、じゃあどうしよっかなーって思ったけどやっぱりねえさみ
届かないもんねー。,そうだよなあ、この人さばけやと思うけど何かしらの理由をつけておこう
ん?,えっと、私ねー。お母さんが買ってくるのっていうけどさあ・こっちの方がいい
スカート。入らん。,は?あ、そうだよねえーんとかなっちゃっててさやもやってるの
生協を辞めるかどうかって、あれって自分で言わなきゃいけないものなんじゃないの?,そろばんで使う手
なんでだめなん。,ふーん、そうだったんだろうねえ?だからそのせいもあったかもしれないけどさあ
気分、食べてる途中は気分いいけどさ、食べ終わってから後悔するんだよね。,あーすっごい
就活の時に撮った写真なんて、恥ずかしい。こんな顔して。すごくあせって撮ってる。,そう
もう少しここにいるもんね。失礼いたしました。,ううん、なんかさーちょっと聞いてもいいかなと思ってる
終わるよね。。,でもなんかさんとか、そういう人と話しした方がいいかもしれないけどさー?稲葉はこう
まじで?,ふざけんなよ。なんか、あの人はねーとんでもない人ばっかりだもんとか
うん、うん、うん。,そうねえなーって思っちゃったわよきっとさあちゃんの?い
俺には別に言わんでもええ。あんたには、そやけど、エクサイティングな日々だった、ぐらいゆうてきてもええと。,いな
イギリスで働くなんていいなー。,いやでも、ねえとかねうのがイギリスだとかはさあよくわかん
なんかもう死に、なんか死にそうって。えさも足りないし。,あー?これ何だろねと
なんかそう考えると笑えるけどね。,そうなんだよなーとか、思っとるんでしょう?私なんて全
ドクターに進学するにしても、そのあと保証がないしー。,うんねえよなあと思いますけどもやっぱりなん
