発話者2,応答者2,対話行為,対話行為2,感情
あ、ごめん。,飛んだ。,自己開示,自己開示,嫌悪
あー。,だから、専任を探してるから、,自己開示,自己開示,嫌悪
あー。,それがまた大変で、わたしがわからないの。,自己開示,自己開示,嫌悪
あー。,だからこれはもう語用論学会とか、そういう専門家が集まるところじゃないと無理だって。,自己開示,自己開示,嫌悪
研究科全体で。,いえ、研究科全体はもっと多いんですよ。４８名ぐらいいるんですよ。,自己開示,応答(平叙),嫌悪
あー。,もちろん日本言語文化専攻の、だから日本語教育学講座、第１志望、第２志望、応用言語学と、こういうかたちで出すわけですね。,自己開示,自己開示,嫌悪
あー。,で、ま、それはいろいろ、その辺問題があって、どうしてもやっぱり日本語教育と現代日本語学が多いんです。,自己開示,自己開示,嫌悪
あー。,言語学と文化は。,自己開示,自己開示,嫌悪
あー。,言語学も若手のね、有名な人いるんだけど集まらないんですよ、学生が。,自己開示,自己開示,嫌悪
あー。,というか、大学生知らないですから。,自己開示,自己開示,嫌悪
ふーん。,なんか、変な規定があって、１０人以上集まらないとだめっていうんですよ。,自己開示,自己開示,嫌悪
あー。,ばかみたいな、もう。ほんとは集中講義かなんかで来る先生に、ねえ、３日ほど泊まってもらえば一番いいんですけど。,自己開示,自己開示,嫌悪
ふーん。,そこで会議とかなんとかいうと、なんか、会議室の料金が取られるんですよね。だから会議はちょっとできないなと思って。１時間１０００円とか２０００円とか部屋代取られちゃうんですよね。だから、まあ、会議はもうキャンパスの方でして、寝るとこだけ。,自己開示,自己開示,嫌悪
頼んじゃって。,うん、頼んできて、３００部。去年が２５０人ぐらい来たんですよね。あとで予稿集だけくれって,自己開示,自己開示,嫌悪
あー。,研究集会の方も作っちゃいましょうね。,自己開示,自己開示,嫌悪
うーん。,半分ぐらい、あの、審査厳しいですからね。,自己開示,自己開示,嫌悪
人によって審査の度合いが違うのはしょうがないですね。,あの、査読委員も任期で、コロコロ人が変わりますからね。,自己開示,自己開示,嫌悪
いやいや。,２回ぐらい出ると。もう韓国の学会なんかひどいですよ。２回出たら、次のときはもう理事になってました。海外理事。なんだこりゃって、ほんと。知らないうちに査読のあれを送ってくる。もうなんか、それ、海外から、特にね、韓国の日本なんとか学会ていうのは日本から行くとやっぱりすごく歓迎してくれて。そうですよね。研究してる国の研究者がわざわざ、ね、海外に行って、話にきてくれたらうれしいもんですよね。,自己開示,自己開示,嫌悪
あーあーあー。,昨日かなんか行ったら、後期の指導してらしたから。,自己開示,自己開示,嫌悪
ふーん。,で、私の副でやっていただいてるのたくさんあるから、ほんとはＥ２さんだって、Ｈ２さんのとこに行ったんだけれども、なんか、わたしの方に回されて。でも、もちろん責任持ってやってくださるので、おんなじ、副も主もないんですよね。あと、Ｊ２君ね。,自己開示,自己開示,嫌悪
へえー。,もちろんＬ２さんなんかので、受かったみたいで、こないだ初めて知って。,自己開示,自己開示,嫌悪
非常勤かなんかですか。専任でですか。,いや、わたしもそれは。専門が違うから、,自己開示,応答(平叙),嫌悪
訴えたりはしませんけどね。,うん、そうですよね。,あいづち,あいづち,嫌悪
アメリカみたいに自分の権利として休みを取るという、そういう感じじゃないですよね。,ねえ。,あいづち,あいづち,嫌悪
あー。,で、もうわたし、もう１０年しかなければ、１０年ぐらいしかないわけだから、今から応募したって無理って言われて。,自己開示,自己開示,嫌悪
ふーん。,その代わり大学院はそういうわけにいかないから。,自己開示,自己開示,嫌悪
あー。,３日、とても、あの、ねー、半分ちょっとじゃ済まないんで。,自己開示,自己開示,嫌悪
あー。,全く同じ試験問題でやるんで。,自己開示,自己開示,嫌悪
あー。,ペーパーだけ。書類選考だけ。,自己開示,自己開示,嫌悪
ああー。,中国、韓国の日本語学科とかそういうところの卒業生ですから。,自己開示,自己開示,嫌悪
行っちゃいますよね。なんかほかのこととか、そんなこと言ってもしょうがないですね。すみません。,いえいえいえ。分野が違うとほんとあれですよね。あの、経営とか経済はいるんですよ。,自己開示,あいづち,嫌悪
それもわたし、多元の方にそういう人いる、いやそういう人入れてもいいというお話あるんですけどね。,ええ。,あいづち,あいづち,嫌悪
わたし、留学生が言語文化研究科で、日本に来るのに、日本語を勉強しないで帰って、いったいなにが役に立つんですかって、つい本音を言っちゃって。,そうですよね。,あいづち,あいづち,嫌悪
あー。,ところが、韓国語がいないんですね。,自己開示,自己開示,嫌悪
へえー。,で、韓国から来る子は英語はあまりわかんないですから。,自己開示,自己開示,嫌悪
いや、いや。,どうも、どうもありがとうございます。,自己開示,自己開示,嫌悪
私、コンピュータってばかだから、いつも言うんだけど。,そう、ばか。わたしもそう思う。本質は絶対ばか、あれ。コンピュータ、お利口じゃないよ。ばかだよ。,自己開示,フィラー,嫌悪
うらやましい人。それでさ、あたしはね、あたしの持論はどこの動物の世界に目が朝起きたら獲物が枕元にあるなんてあれがいるかというのがあれなわけ。だからその獲物を求めて走り回るわけよね。だから朝は、だからっていうか、だから、だから、わたしはどっちかというと。,わたしはお腹が空いて目が覚めるという。それは、それはちょっと最近はそうじゃないけど。,自己開示,自己開示,嫌悪
一般的には、頭脳を働かせるためにもたんぱく質を入れなきゃいけないとか言われてるよね。わたしはちょっと違うと思う。,私もタンパク質が入った料理はもちろんそれは作るよ、一応は。,自己開示,自己開示,嫌悪
うーん。,そこでね。,自己開示,自己開示,嫌悪
あー、そっか、そっか。,もう大変でしたよ。わたしが。,自己開示,自己開示,嫌悪
だって、わかる気がするけど。,あのねえ、あのー、なんとなく、そのアタックが起こったときに、あの、じょ、上空の近いところに飛んでた飛行機がみんな、どっかでもいいから近いところに,自己開示,自己開示,嫌悪
日本人は外国で何かあるとすぐ帰ろうとするの。他の国が日本人になにもするわけじゃないわけよ。それなのに嫌だから帰ろうって言うんだもん。,それよ。まあ、時代が変わっても。あれから何十年もたってるけどおんなじなのよね。,自己開示,自己開示,嫌悪
あー、あー。,荷物ちゃんとパックして。そしたら、あのー、何日の航空券を持ってる人はいついつとかというふうにして少しずつね、あくわけ。そういうときにまずね、よその、まだＪＡＬはまだ少しましなんですよ。あ、え、ＡＮＡなんか全くよその、例えばシンガポール空港みたいに、航空みたいに、あの、キャンサーてことを、ほんとに頭回らないの。あの、実行力がないの。だってオーバーするってわけないし、あのー、Ｓ、ＳＱなんかね、あの、東京経由でシンガポール行くわけよ。ですからお客さん乗せられるっていう、ていうんだともう言ってるのに、そのなんていうの、その対応がうまくいかない。,自己開示,自己開示,嫌悪
ふーん。,あの、このお人形の先生のうちはね、この呉服問屋だったの。それだからこんな人形さんでもみんな、これ、頭も取れちゃったから、つけ、つけなくちゃと思ってね、まだつけずにいるんだけど。,自己開示,自己開示,嫌悪
あー、ほんとほんと。,穴開けないといけないけどね。ねえ。,あいづち,自己開示,嫌悪
あー、はいはいはい。,阿波踊りよ、それは。,自己開示,自己開示,嫌悪
でも変じゃない、べつに。,こうよ。,自己開示,自己開示,嫌悪
ふーん。,子はつけないよね。Ｈだった。だから。花が好きでね、母はね。もう、ほんと、花好きだったの。これはあの、おばあさんがまあ、節分の豆むいてるあれよね。これは、散歩してるときの。夕萓・ユウスゲの野の静けさやってね。こんなんなんかもそのままよ。８０んなってからで。八十の姿映して初鏡って、お正月の。ね。,あいづち,自己開示,嫌悪
ささいなこととは言ってもさー、やっぱりさ、人のものを勝手に捨てちゃうってすごくいけないことじゃん。,うーん。捨ててまで言わなくてもいいんじゃない。,自己開示,あいづち,嫌悪
同級生にふざけて、言ってもしょうがないこと言っちゃって、あれは悪かったなーって思ってさー。うん。怒っちゃうしねー。申し訳なかったよ。,なんか、ざんげ室みたいになってきた。,自己開示,自己開示,嫌悪
へーえ。,できる。,自己開示,自己開示,嫌悪
あ、ほんと。,妙にその、ため息とか、日本語に訳せないような、あのー、何ていうのかなー、その俳優そのものが、妙に間を空けてしゃべる人とかがいるんだって。そういうとこの吹き替えが難しいとか。うん。,あいづち,自己開示,嫌悪
それ何、だれかに出すんじゃなくて？,もう、あのー、中国なんか行ってたときはいつもこう、あの、手紙として書いててん。こないだお母さんが夏休みにね、あの、死んでしま、せ、戦死してしまった人からの、あの、葉書がね、来てて、その人が美術の先生だったので、こう描いたのを送って。ただ、そうやって、絵心のある人はちょっ、か、もう昔から描いてたん。うん。だけど普通の素人の人は、あのー、なかなかそこまでしないじゃない。,自己開示,応答(平叙),嫌悪
折り紙とかって完成品をうち置くとこないからいかんわ。,みんな奥へ引っ込めた。,自己開示,自己開示,嫌悪
そやね。そうよ、あんとき何かすごい大っきい腹してきて、ほんで。,あのときはよちよちあんこって、ここでやっとったしね。,自己開示,自己開示,嫌悪
旅館に泊まるとね、ご飯がねー、朝夕ついとるとこばっかりなんだわ。,あーあーあー。それ込みでいくらだもんね。,自己開示,あいづち,嫌悪
いきなりこっちへ向かないでください。,インタビューみたいになっちゃう。,自己開示,自己開示,嫌悪
ちょっと無理やり話題をつくって話してる。,それは、ちょっと。,自己開示,自己開示,嫌悪
うーん。,めんどくさい、そういうの。,自己開示,自己開示,嫌悪
うーん。,海外旅行とか。,自己開示,自己開示,嫌悪
でも、迷子かどうかわからない子ってどういうふうにしたらいいかわかりませんよね。,ねえ、だってね、連れてきちゃったらさー、誘拐って疑われるかもしれないでしょう。,自己開示,自己開示,嫌悪
うーん。,今電子コーパスっていうか、電子資料になってるからー、なんか、やるんだけど、でも、話し言葉のこういう資料は全然ないから、今作ってるんだって。,自己開示,自己開示,嫌悪
うーん。,そう、大変だねー。,自己開示,自己開示,嫌悪
うーん、そう、先生がやめるって、ピアノの先生がやめる。,あ、ほんと。,あいづち,あいづち,嫌悪
失礼いたしまーす。失礼いたしまーす。ごゆっくりどうぞ。,そう、なんかやっぱり、ね、自分でも生徒を持ってやってるんだって。でも、掛け持ちもつらいしー、かといってどっちかにしちゃうと、なんかヤマハだとほんとに子どもにこうって教えてるだけだとー、すごい、こうなんていうの、将来に不安を覚えるとか言って。,自己開示,自己開示,嫌悪
うん、こっちからこっちだよね。,フォワードだからだいじょぶ。,自己開示,自己開示,嫌悪
うそ。,２人の子のねー。,自己開示,自己開示,嫌悪
私の採用の全権は、上司にあるから媚びうっとかないと。,あ、そうかそうか。,自己開示,自己開示,嫌悪
うーん。,そうなんだ。,あいづち,あいづち,嫌悪
なんで、なんで自分とこの思うんだけど。,あれ何、割引はそこは入ってないの？名鉄は。,自己開示,質問(YesNo),嫌悪
知られちゃまずい。なあ。,うるさい。,自己開示,自己開示,嫌悪
そうやって人の顔をけるなよ。,けってないし。,自己開示,自己開示,嫌悪
聞いてるだけの人に、今が何が起こったのかは、説明しないとわからないんだから。,もう。,自己開示,自己開示,嫌悪
なんだよ。,いいよ。なんでもない。,自己開示,応答(平叙),嫌悪
俺だけだよ、ほのかに眠いって言葉使うの。,うるさいよ、もう。そういうこと、いいから。,自己開示,自己開示,嫌悪
大体俺の生活がすさんでるってなんだよ。すさんでるってなんだよ。,うるさいよ。,自己開示,自己開示,嫌悪
さっきほんのり働くとかいうわけのわからない言葉を使うんだねえとかね。そんな感じのことを、なんか日本語を研究してる役に立たない人たちがねえ、考えるんだよ。,あんた。殺すわよ。,自己開示,自己開示,嫌悪
いいだろう、俺の金なんだから、俺がどう使おうとさあ。いてえよ。お前、痛いって。,なんにもしてないよ。,自己開示,自己開示,嫌悪
絞めるなよ、首を。,絞めてないよ。,自己開示,自己開示,嫌悪
経済活動なわけ。,はい、はい。,あいづち,あいづち,嫌悪
お前、ばかじゃねえの、お前、激しくばかだな、お前。,うるさいな。,自己開示,自己開示,嫌悪
エアコンつけると、のどが乾燥して、またやられるからやめとけっつうの。,やられてるからいい。,自己開示,自己開示,嫌悪
それに関する言葉をね、でたらめな使い方でいっぱい入れておけばねえ。,無理。,自己開示,自己開示,嫌悪
だから、なんで。,とにかく無理。,自己開示,応答(平叙),嫌悪
だってしゃべんないといけないでしょう。しゃべんないでいいんなら俺、寝ちゃうぞ。しゃべんないでいいんなら寝ちゃ。,あー、もうもうもうもうもううもうもうもう。,自己開示,自己開示,嫌悪
音声とるのと、文字起こしするんだったら、どっちかっていうと、俺、これはなんかこう書く人のバイトやりてえなあ。,ああー。なんか業者に頼むって言ってたけどね。,自己開示,あいづち,嫌悪
つかむな。,もう。,自己開示,自己開示,嫌悪
なんかむかつくんだよ。嫌らしいな、お前。さっきからそんなとこばっかもみしだくし。,うーん、殺すよほんとにー。,自己開示,自己開示,嫌悪
もうわかんないでしょう。はんでとべしってなんだろうと思うでしょう、これ。,もう、そういうことやるとね、私がね、この中で出てきたはんでとべしはこういう意味とか書かんきゃいけんから、そういう面倒くさい作業。,自己開示,自己開示,嫌悪
品のない言葉、僕、使わないもん。,品のないとか。,自己開示,自己開示,嫌悪
ほっとけ俺のことは。なんだよ。,もうー。,自己開示,自己開示,嫌悪
あたりまえじゃん。,そういうのおかしいよ、そういう考え方。,自己開示,自己開示,嫌悪
なんだよ、夕飯作んの俺じゃねえか、いつも。,もう、いいよ。,自己開示,自己開示,嫌悪
「は」って言っても、あのー、「は」じゃねえよ。「は」だよ。,わかってるよ。,自己開示,自己開示,嫌悪
きんぴらごぼうをどんぶりいっぱいね。お前、おかしいんだよ、大体その発想がさ。,だって、ゴボウが、１本買ってきたんだもの。,自己開示,自己開示,嫌悪
大体俺は太いきんぴらゴボウは嫌なんだよ。,あたしおばあちゃんが作ったきんぴらゴボウ。,自己開示,自己開示,嫌悪
なんで、おいしくないものをおいしいって言うような我慢しなきゃいけない。,我慢じゃなくて、むとんちゃくなんだってば。食べるものとかそういうものに気遣わないの。,自己開示,応答(平叙),嫌悪
だって、俺、神経質だもん。,私のお父さんは何でも食べれればいいっていう人なの。,自己開示,自己開示,嫌悪
だって、俺、神経質だもん。,これだからこうさあ、お坊ちゃん育ちの人は困るよね。,自己開示,自己開示,嫌悪
お前、時代が違うだろう。お前よ。,なんかね。,自己開示,自己開示,嫌悪
ふーん。,M033はぜいたく。,自己開示,自己開示,嫌悪
断る。,ポトフが食べたいー。じゃあねえ、なべ買ってきて、なべやろう。,自己開示,自己開示,嫌悪
知らん。,だから。,自己開示,自己開示,嫌悪
なんでよ。,何月生まれだって大物はいるよ。,自己開示,自己開示,嫌悪
お前が直せばいいだけじゃん。,ね、私ね、なんか横から指示されるの大嫌いなのよ。,自己開示,自己開示,嫌悪
指示とかいう問題じゃないでしょう。常識。,というか、私ね、人にね、教わるの嫌いなの。,自己開示,自己開示,嫌悪
殺害の対象に。,あんた関係ないじゃん。,自己開示,自己開示,嫌悪
殺意を抱かれるよ。,ねえ、ねえ、ねえ、ねえ。,自己開示,自己開示,嫌悪
ていうか、むしろ今殺意を抱いてる。,ねえ、私、あなたと結婚しないから、関係ない。,自己開示,自己開示,嫌悪
言い訳じゃないよ。,なんかさ、失敗するとすぐ周りのせいとか人のせいにしてさあ。,自己開示,自己開示,嫌悪
あん？,火曜日、えっ、結構すぐだね。,自己開示,自己開示,嫌悪
なんでよー。,だから、集まるのは。,自己開示,自己開示,嫌悪
だからそういう固定観念を捨てなさいよ。,固定観念じゃなくて、だれがもらっても、,自己開示,自己開示,嫌悪
固定観念だよ。,だれがもらってもうれしいもので、５００円ぐらいのものって何があるかなあ。,自己開示,自己開示,嫌悪
プレゼントで無難なもの選らんじゃだめだよ。あえて、こう。,なおかつ人とかぶんないものがいいよね。,自己開示,自己開示,嫌悪
お前の掃除は雑だもん。,そりゃあ、雑だけど。,自己開示,自己開示,嫌悪
なりてえよ。,何、映画関係行きたいとかさあ。,自己開示,自己開示,嫌悪
勉強してないじゃん。するとか言いながら寝てるじゃん。,あんたの知らないところでやってんの。,自己開示,自己開示,嫌悪
知らないとこって、ほとんど俺、このうちいるじゃん。,学校とかでやってんの。,自己開示,自己開示,嫌悪
ばかじゃないの。そういうこと言ってると、お前の性癖とかばらすぞ。何、だって、あとちょっとなんだけど、しゃべるものなくなってきたから、もうお前の性癖をばらすぐらいしか、しゃべることがない。,信じらんない。全部消すよ。そういうこと言ってると。,自己開示,自己開示,嫌悪
邪魔なんだ、お前のくさい足が。,くさくないっつうの。,自己開示,自己開示,嫌悪
だから、手作りなんて、お前、なんもできないのに。,でも、５００円で、なんか買ったつって。,自己開示,自己開示,嫌悪
ほんと迷惑だよ、そんなんもらったって。,食べ物が、よいかなあって。,自己開示,自己開示,嫌悪
お前が頭使わねえからだよ。,ふーん、難しいな、やっぱ食べ物かなあ。何がいいかなあ。,自己開示,自己開示,嫌悪
迷惑。,作れないか、どうせ。,自己開示,自己開示,嫌悪
迷惑。,チョコレート。,自己開示,自己開示,嫌悪
知らん。,たぶんおいしいもん食べたいよねえ、いっぱい。手羽先食べ行こう。,自己開示,自己開示,嫌悪
だって、お前、仕事で忙しいだろう。,Ａ君もだって、全然、M033が連絡しないって。,自己開示,自己開示,嫌悪
あ、すいません。,それがあるから。,自己開示,自己開示,嫌悪
そりゃそうでしょう、そう思うよ、私。,だから、その妹の方はお姉ちゃん見てて、なんにもならないから、やっぱり理系に行った方がいいって言ってる。,自己開示,自己開示,嫌悪
どっかで日本語のことをちょっとやってみて、なんか物足りないとか、必要性を感じてとかっていう人ばっかりでしょう、セミナーに来る人って基本的には。,で、結局、そういう人は素直で来てくれればいいんだけど、下手に知識が入っているもんだから、自分の意見を通される人が多いんだって、やっぱり。,自己開示,自己開示,嫌悪
授業を教える練習をするってなっても、クラスがさ、全体から見たらどういうふうかとかさ、わかんないもんね。,うん、経験もなければ比べようもないし。わけのわかんないさ、教材ばっかり分析させられてもさ。,自己開示,自己開示,嫌悪
授業を教える雰囲気とかわかんないよね、教材の分析やっててもね。,うん。全く意味ないと思う。ほんとにわかんなかった。,自己開示,応答(YesNo),嫌悪
グループ分けのしかたとかさ。,それこそ、うん、グループ分けができなくてもいいみたいな。,自己開示,自己開示,嫌悪
そこで、ほかに品詞の区別ができないとどれぐらい困るかとかさ、そういうのはわかんないじゃん。,わかんない、わかんない。だって、全然違うもんね。,自己開示,自己開示,嫌悪
あ、うんうん。,ああ。,あいづち,あいづち,嫌悪
知らないけど。,あ、愛知県だと思うよ。,自己開示,自己開示,嫌悪
ふーん。,うん。結構ひなびた山だったけど、昔は。,自己開示,あいづち,嫌悪
まだだからそのドラマのやつの、なんだっけ。,最後の回の。,自己開示,自己開示,嫌悪
だから、その、あれ？,口頭試験。,自己開示,自己開示,嫌悪
また違う教科書からから１つの項目を、やんなきゃいかんわけね、テストで問題を出すために。,うん、試験問題を作らないといけない、それは。,自己開示,自己開示,嫌悪
うーん。,うん。って言って、それで、そういうエバリュエーション書いてあって。,自己開示,あいづち,嫌悪
うーん。,うーん。,あいづち,あいづち,嫌悪
うーん。,うん。だけどさー、今はなんだっけ、いいけど、昔のＫって週５日来い。,自己開示,あいづち,嫌悪
関西の人は、電車座るときに、人と人の間を余裕を持って空けて座ってて、人が乗ってきても詰めてあげないみたい。,うん、横浜の方は、みんなきゅーっとね、なに、詰めて腰掛けているって。,自己開示,自己開示,嫌悪
ふーん。,うん、でも、京阪なんかはね、高校生じゃなくてもね、なんか一般の。,自己開示,自己開示,嫌悪
ふーん。,結構すかすかに空けてね。,自己開示,自己開示,嫌悪
普通の人は、こんな奥の方まで来ないもんね、だって。,来ないよね。,自己開示,自己開示,嫌悪
あ、ほんと。,あの、ずーっと前さ、あの、長野に行く日の前にさ、Ｂちゃんが帰ってきた日に、なんか２軒目、ケーキ食べに行こうって言って、ここに行こうとしたけど、ここすぐ閉まるから、結構あきらめたんだけど。私もこんな時間に来たことないんだけどね。,自己開示,自己開示,嫌悪
だれが大葉嫌いなんだっけ。,会社の人かな。,自己開示,自己開示,嫌悪
なんであんなにお金持ってる人が、服なんて盗む必要があるの。,なんかあれなんじゃない、ストレスたまってんじゃないの、きっと。,自己開示,自己開示,嫌悪
うそー。,今、揺れたことない？さっきさ、オーダー取りに来たときも揺れたんだけど、バスが通るたびに揺れる。,自己開示,質問(YesNo),嫌悪
おかしくない？ちょっといっぺん止めよう。,いや、今、５０分、たぶん。,自己開示,自己開示,嫌悪
私、果物が柔らかくなってから食べるっていうのがいまいちなんだよね。,うん、気持ち悪いやんってね。,自己開示,自己開示,嫌悪
ほんとに。,あっ、ごめんなさーい。すいませーん。,自己開示,自己開示,嫌悪
そうなん。,そっか。,あいづち,あいづち,嫌悪
ユングの自伝って普通じゃないことを普通のレベルの言葉でしゃべってしまうから問題があるんじゃないかって。,うーん。普通の言葉を使ってしまうと、違うふうにとらえられてしまうってことなのかな。,自己開示,あいづち,嫌悪
へえー。。,はっきり覚えてないけどね、Ｃ先生に聞かなきゃ。それだけ覚えてるの。あと、全部。,自己開示,自己開示,嫌悪
知らん。,あ、そうかな。,自己開示,自己開示,嫌悪
スペイン人出身の人と話すなんてどきどきする。,私はその人と面接のときに会って。,自己開示,自己開示,嫌悪
東京大学付属高校って、卒論にしても厳しそうやから、それは脱落者とか、留年するやつは出ないのかって聞いたら、出ないって。,出ない。,自己開示,自己開示,嫌悪
母国語じゃない会話だと、結構自分が主導権を取れないもんのだから、そういうストレスがたまっててさ、攻撃的に言ってくるのかもしれないよ。,そうかねえ。,あいづち,あいづち,嫌悪
外国の人って、批判は批判で、で、人間関係は人間関係で別なんだよね。,うーん。っていうかさ、やっぱりその人もそうだけど、私に言うことないじゃないことを言ってくるのはだめだよ。,自己開示,あいづち,嫌悪
ふーん。,こっちがしゃべっている気にさせてくれる。なんていうの、自分が今日は流ちょうにしゃべれたって思えるようにしてくれる先生がやっぱうまい。,自己開示,自己開示,嫌悪
はずされてばっかりなの？,うん、１人目の人は、まだ私があんまり上手にしゃべれないときだったから、もっとしゃべってくれよとか、もっと僕を笑わせてくれよとか、そういうふうに注文を付ける人だったの。話の流れをちゃんと持ってきてくれて、私に話させてくれるようにしてくれればいいのに、で、なんかもう私が、思うように自分の言いたいことを言葉にできないでいるから、ぽろぽろっとなんかしゃべって、はいっていうの。なんですかって言ったら、君には、自分で言葉を考えてしゃべるよりも、リピートする方がいいかと思ってって言われたの。,自己開示,応答(平叙),嫌悪
学習者が話題をふれるかどうかで、授業の良しあしがさ、決まっちゃうようじゃ先生の意味ないじゃん。,そうだよね。,自己開示,自己開示,嫌悪
うーん。そっか。ふーん。,いや、Ａ人みたいに、フランス人がなんか言ったりしたかなと思って、聞いてみただけなんだけどさ。,自己開示,自己開示,嫌悪
フランス人って極東っていうさ、そういう感じだからさ。だから、、そんな批判的なことは言われたことなかったような気がするよ。,ふーん。,自己開示,あいづち,嫌悪
よその子なんて絶対わがままだよ。,わがままっていうか、うん、ほかの子とうまくやっていけない子が多いね。,自己開示,自己開示,嫌悪
でもさー、よくさー、デパートなんかに行ってさー、ちっちゃい子ども連れてるお母さんとかがさー、すっごい恐くさー、頭ごなしにさ、叱り付けてるところとか見るんだけど、それ見てると、あーって思って、すごい嫌な気分になる。,叱れる時期って、そうはないと思う。,自己開示,自己開示,嫌悪
怒り方を怖くしすぎると、結構お母さんのいるところではいい子にしてて、で、お母さんの目の届かないところで悪さをするっていう感じになっちゃってるんだって。に怒るのも、考えもんだなって。,子どもによるよね。すっごいきつい叱られ方してても、ぜんっぜん平気な子もいるし。,自己開示,自己開示,嫌悪
最初緊張してたんだけど、途中から眠くなったみたいで、疲れたし、眠くなったとか言って。暴言を吐いてたよ。,そっか、そっか。,あいづち,あいづち,嫌悪
ふーん。,ただ、昨日はちょっと、あのー、ノンバーバル・コミュニケーションの話とか、まあ、もうちょっと具体的にジェ、ジェスチャーについてとかっていう話をしたから、だから、いろいろな日本人と接してて、いろんな日本語を使ってる人ほど有利じゃない、そういうのって。日本人がこういう行動をしたとか、こういうときに日本人はお辞儀をするけれどもとかっていうことを言うのが。だからねー、Ｂさん、発言なしって感じで、,自己開示,自己開示,嫌悪
あ、ほんとにー。,ちょっとかわいそうだった。,自己開示,自己開示,嫌悪
あ、ほんとにー。,うん。,あいづち,あいづち,嫌悪
そっか、ふーん。,あなたの国では、Ｏではどうですかとかって聞くとー、答えてはくれるんだけど、でも、Ｏ人、まだいるじゃない？ほかにも。それで。,自己開示,質問(YesNo),嫌悪
あ、ほんとにー。,うん。遅れたら、ごめんなさいとかって言うからー。あ、書くのは別に嫌いじゃないんだなっていう感じがするのね。うん。まあ、たとえ原稿用紙がぐちゃぐちゃであろうとも。,自己開示,あいづち,嫌悪
うーん。,いやいやー、教えるのは大変だよ。この間、Ｃさんにさー、なんか、ちょっとへこんでて、いろいろあって。で、あ、メール打って。なんか、教えるのもうまくならないし、研究は進まないし、もー、なんてだめなっていうようなことを書いたら、そんな１年や２年でうまくなるわけがありませんとかって。,自己開示,自己開示,嫌悪
うん。そう、なんか、私さー、学生によって左右されるっていうのがすごい嫌でさー。自分があまりにも学生の立場に、近づきすぎるっていうかなー。いちいち学生の、うーん、行動に一喜一憂するっていうのがさー、すごく嫌なんだけどー。嫌だなーって、ずーっと思ってるんだけど。でもそれってさー、なんか、数多くのさ、学生にあたらないと、なかなかね、そういうところから、距離を置けないような気がするから、まあ、しょうがないのかなーって思ったりして。,私、でもやっぱり、ロシアで、１年目に教えて、ま、１年目、２年目ほとんど一緒だったんだけど、学生に対する入れ込みに比べたら、今の学生たちは、もう全然突き放してるよ。,自己開示,自己開示,嫌悪
うーん。そうねー。ふーん。,だってねー、まだ、まだ駆け出しだしさ。うん。駆け出しのくせに、やる気ないしさ。私、テストだ、テストは、２つ作らなきゃいけないの。もう１個は、もう、かなりきっちりもう、,自己開示,自己開示,嫌悪
あー、そっか、そっか。へー。,いろいろ迷ったんだけど。,自己開示,自己開示,嫌悪
あ、ほんとに。,うん。,あいづち,あいづち,嫌悪
そっか。うん。,送らなきゃ、年賀状を送らなきゃいけない人ってさ、まあ、普通メール使ってる人ばっかりだからー。,自己開示,自己開示,嫌悪
うん、そうなんだって。そうそうそうそう。でもねー、前ねーフランスでさー、日本人の人としゃべってたんだけど、日本語教師会の集まりで。で、帰るときに一緒になった人がそこに参加していた日本人で、そこでしゃべってて。で、その人はもうフランス在住長くて子どもが３人いてとかいう話をしてて。うちも３人兄弟だからさ、なんかその話をしてたわけよ。私は小さいころから愛情が上と下に行ってて、自分には感じてないんですけどとかいって言ったら、２番目の子って、絶対そう思っちゃうのよねって。こっちとしてはね、思わせるまいと思って、余計なぐらいに、愛情をかけてるつもりなのにって言われて、あ、そうなんですかーとかいって言って。,うーん。ま、そんなもんなのかもねー。,自己開示,あいづち,嫌悪
あー、ほんとー。ふーん、そっか、そっか。。だめだって。,倍増計画と。そうそう。でも、ね、３人だとバランス、難しいよ、きっと。お母さんたちも。,自己開示,自己開示,嫌悪
あ、ほんとに。,うん。小さいころだけどね。やっぱり体の大きさも違うじゃない、小さいころって。だからさ、食べ物とかも、ちょっと違ってくるし。結構。今は仲いいけどね。昨日も一緒に買い物行っちゃったけどね。,自己開示,あいづち,嫌悪
あ、ほんとにー。どこに？,今日、うち、父親の誕生日で、うん。誕生日プレゼントを買いに、近所のアピタに行ったら、昨日は特招会で。,自己開示,応答(平叙),嫌悪
すごい、邪魔なんだって。うん。で、パチンコ行くでしょう、しょっちゅう。んでもって、まー、あんまりパチンコばっか行っとってもかんって、おも、自分では思ってないんだろうね。ま、家族に言われるからー、ちょっと、うん、自制したりしてんだけど。自制じゃないやね、自制ではないよね。まあ、行かないようにしたりしてんだけど。でー、でも暇じゃん。,うん。時間あるったってねー。,自己開示,あいづち,嫌悪
これ見て、やめる人、いるかもしれませんよ。,え、そんなことないよ。,自己開示,自己開示,嫌悪
だから、どう、どうしたらいいんだろうとか言ってて。ちょっと紹介してとか、そういう事情を話して紹介してとかってあせってて。なんか、いまさら、うちら、でも、いまさらあせってるよねっていう話をしてて。Ｋちゃんとかもそう思ってるんじゃないかなー。もうちょっと早く気づくべきなんじゃないかって思うけど。,＜笑＞もっと早くあせれと。うーん。そうだねー。,自己開示,自己開示,嫌悪
